date,nail polish
2020-12-27,84
2021-01-03,75
2021-01-10,72
2021-01-17,72
2021-01-24,71
2021-01-31,69
2021-02-07,70
2021-02-14,69
2021-02-21,69
2021-02-28,75
2021-03-07,70
2021-03-14,71
2021-03-21,75
2021-03-28,79
2021-04-04,79
2021-04-11,81
2021-04-18,81
2021-04-25,83
2021-05-02,86
2021-05-09,83
2021-05-16,86
2021-05-23,90
2021-05-30,95
2021-06-06,93
2021-06-13,90
2021-06-20,91
2021-06-27,96
2021-07-04,95
2021-07-11,93
2021-07-18,96
2021-07-25,90
2021-08-01,89
2021-08-08,87
2021-08-15,92
2021-08-22,84
2021-08-29,81
2021-09-05,86
2021-09-12,82
2021-09-19,81
2021-09-26,75
2021-10-03,78
2021-10-10,82
2021-10-17,79
2021-10-24,76
2021-10-31,74
2021-11-07,75
2021-11-14,84
2021-11-21,80
2021-11-28,83
2021-12-05,81
2021-12-12,79
2021-12-19,87
2021-12-26,85
2022-01-02,87
2022-01-09,82
2022-01-16,74
2022-01-23,77
2022-01-30,78
2022-02-06,81
2022-02-13,77
2022-02-20,79
2022-02-27,74
2022-03-06,78
2022-03-13,83
2022-03-20,81
2022-03-27,79
2022-04-03,80
2022-04-10,84
2022-04-17,79
2022-04-24,82
2022-05-01,83
2022-05-08,87
2022-05-15,86
2022-05-22,95
2022-05-29,98
2022-06-05,94
2022-06-12,96
2022-06-19,98
2022-06-26,97
2022-07-03,97
2022-07-10,95
2022-07-17,98
2022-07-24,95
2022-07-31,94
2022-08-07,94
2022-08-14,95
2022-08-21,90
2022-08-28,87
2022-09-04,90
2022-09-11,82
2022-09-18,83
2022-09-25,81
2022-10-02,78
2022-10-09,85
2022-10-16,78
2022-10-23,75
2022-10-30,74
2022-11-06,74
2022-11-13,80
2022-11-20,87
2022-11-27,76
2022-12-04,76
2022-12-11,78
2022-12-18,82
2022-12-25,90
2023-01-01,81
2023-01-08,76
2023-01-15,80
2023-01-22,74
2023-01-29,75
2023-02-05,75
2023-02-12,76
2023-02-19,75
2023-02-26,76
2023-03-05,76
2023-03-12,79
2023-03-19,78
2023-03-26,75
2023-04-02,80
2023-04-09,79
2023-04-16,82
2023-04-23,79
2023-04-30,77
2023-05-07,85
2023-05-14,85
2023-05-21,90
2023-05-28,91
2023-06-04,94
2023-06-11,92
2023-06-18,91
2023-06-25,100
2023-07-02,89
2023-07-09,92
2023-07-16,92
2023-07-23,90
2023-07-30,85
2023-08-06,85
2023-08-13,81
2023-08-20,82
2023-08-27,76
2023-09-03,78
2023-09-10,77
2023-09-17,78
2023-09-24,73
2023-10-01,79
2023-10-08,76
2023-10-15,79
2023-10-22,73
2023-10-29,67
2023-11-05,76
2023-11-12,78
2023-11-19,80
2023-11-26,74
2023-12-03,77
2023-12-10,83
2023-12-17,98
2023-12-24,96
2023-12-31,83
