date,Feuchtigkeitscreme
2020-12-27,60
2021-01-03,69
2021-01-10,65
2021-01-17,63
2021-01-24,69
2021-01-31,70
2021-02-07,72
2021-02-14,86
2021-02-21,65
2021-02-28,66
2021-03-07,61
2021-03-14,69
2021-03-21,60
2021-03-28,67
2021-04-04,69
2021-04-11,64
2021-04-18,66
2021-04-25,64
2021-05-02,58
2021-05-09,58
2021-05-16,52
2021-05-23,52
2021-05-30,54
2021-06-06,53
2021-06-13,45
2021-06-20,43
2021-06-27,46
2021-07-04,46
2021-07-11,40
2021-07-18,45
2021-07-25,44
2021-08-01,50
2021-08-08,46
2021-08-15,49
2021-08-22,47
2021-08-29,45
2021-09-05,40
2021-09-12,46
2021-09-19,50
2021-09-26,43
2021-10-03,48
2021-10-10,58
2021-10-17,55
2021-10-24,58
2021-10-31,58
2021-11-07,58
2021-11-14,53
2021-11-21,54
2021-11-28,54
2021-12-05,64
2021-12-12,54
2021-12-19,52
2021-12-26,62
2022-01-02,56
2022-01-09,55
2022-01-16,60
2022-01-23,70
2022-01-30,62
2022-02-06,66
2022-02-13,61
2022-02-20,63
2022-02-27,70
2022-03-06,82
2022-03-13,69
2022-03-20,72
2022-03-27,80
2022-04-03,65
2022-04-10,66
2022-04-17,87
2022-04-24,67
2022-05-01,66
2022-05-08,61
2022-05-15,52
2022-05-22,58
2022-05-29,54
2022-06-05,57
2022-06-12,65
2022-06-19,53
2022-06-26,54
2022-07-03,57
2022-07-10,63
2022-07-17,59
2022-07-24,60
2022-07-31,61
2022-08-07,66
2022-08-14,64
2022-08-21,55
2022-08-28,58
2022-09-04,51
2022-09-11,53
2022-09-18,57
2022-09-25,55
2022-10-02,59
2022-10-09,66
2022-10-16,61
2022-10-23,55
2022-10-30,63
2022-11-06,65
2022-11-13,70
2022-11-20,85
2022-11-27,65
2022-12-04,79
2022-12-11,86
2022-12-18,82
2022-12-25,76
2023-01-01,70
2023-01-08,76
2023-01-15,78
2023-01-22,78
2023-01-29,86
2023-02-05,82
2023-02-12,81
2023-02-19,89
2023-02-26,100
2023-03-05,86
2023-03-12,96
2023-03-19,83
2023-03-26,90
2023-04-02,91
2023-04-09,92
2023-04-16,88
2023-04-23,88
2023-04-30,87
2023-05-07,79
2023-05-14,86
2023-05-21,70
2023-05-28,90
2023-06-04,96
2023-06-11,86
2023-06-18,81
2023-06-25,77
2023-07-02,75
2023-07-09,69
2023-07-16,70
2023-07-23,72
2023-07-30,67
2023-08-06,71
2023-08-13,71
2023-08-20,67
2023-08-27,70
2023-09-03,69
2023-09-10,63
2023-09-17,64
2023-09-24,70
2023-10-01,65
2023-10-08,72
2023-10-15,74
2023-10-22,64
2023-10-29,72
2023-11-05,75
2023-11-12,79
2023-11-19,74
2023-11-26,78
2023-12-03,90
2023-12-10,85
2023-12-17,73
2023-12-24,75
2023-12-31,74
